Nom;x;y;rayon
Antenne1;1021092;6745882;471
Antenne2;1024014;6748418;788
Antenne3;1026359;6750851;361
Antenne4;1024698;6746142;467
Antenne5;1026415;6745498;1080
Antenne6;1026580;6744518;212
Antenne7;1022556;6750069;1168
Antenne8;1026607;6749787;376
Antenne9;1026986;6747660;1231
Antenne10;1021836;6747065;133
Antenne11;1025130;6750284;478
Antenne12;1025998;6748387;391
Antenne13;1024137;6745213;764
Antenne14;1028913;6748191;748
Antenne15;1026969;6744942;1170
Antenne16;1026515;6747851;1125
Antenne17;1027290;6745000;791
Antenne18;1022313;6750877;1365
Antenne19;1024261;6748632;523
Antenne20;1024303;6745222;629
Antenne21;1024916;6749105;823
Antenne22;1027459;6748749;404
Antenne23;1025918;6750520;704
Antenne24;1024180;6746969;1002
Antenne25;1022995;6746530;224
Antenne26;1025041;6747817;1149
Antenne27;1024429;6746258;1374
Antenne28;1022902;6745087;591
Antenne29;1028972;6748074;524
Antenne30;1026703;6746639;1126
Antenne31;1025047;6750970;1310
Antenne32;1025944;6747313;983
Antenne33;1028211;6745330;126
Antenne34;1027835;6744244;1135
Antenne35;1025252;6748018;618
Antenne36;1026391;6744690;1249
Antenne37;1028967;6745674;536
Antenne38;1025297;6745347;784
Antenne39;1022863;6748598;136
Antenne40;1025432;6746551;398
Antenne41;1023701;6745041;925
Antenne42;1027418;6750407;1091
Antenne43;1023936;6746913;361
Antenne44;1024822;6747091;530
Antenne45;1021086;6744422;328
Antenne46;1022041;6750522;736
Antenne47;1025234;6747987;969
Antenne48;1022371;6750503;161
Antenne49;1022262;6747591;314
Antenne50;1022500;6750733;618
Antenne51;1023340;6748634;1113
Antenne52;1026332;6750294;362
Antenne53;1028990;6750006;750
Antenne54;1027187;6745919;243
Antenne55;1028265;6745355;215
Antenne56;1021674;6746778;243
Antenne57;1028769;6747653;453
Antenne58;1027092;6750372;162
Antenne59;1028206;6745465;218
Antenne60;1025637;6746418;844
Antenne61;1028468;6748329;189
Antenne62;1022908;6750222;938
Antenne63;1024553;6750739;1158
Antenne64;1023629;6744145;1048
Antenne65;1025641;6750118;1379
Antenne66;1028668;6748593;896
Antenne67;1027209;6744939;337
Antenne68;1022052;6747492;983
Antenne69;1021898;6744573;523
Antenne70;1023970;6747431;568
Antenne71;1022567;6750827;1350
Antenne72;1025599;6745564;1022
Antenne73;1023462;6747243;1020
Antenne74;1021611;6748233;571
Antenne75;1027254;6748021;1079
Antenne76;1022170;6744321;483
Antenne77;1021547;6750137;799
Antenne78;1028324;6749202;447
Antenne79;1022082;6746734;541
Antenne80;1027276;6749864;1267
Antenne81;1026815;6745335;811
Antenne82;1025070;6750457;355
Antenne83;1021208;6747837;429
Antenne84;1023328;6744034;691
Antenne85;1027532;6746869;1169
Antenne86;1021304;6748913;1325
Antenne87;1028159;6744068;1297
Antenne88;1021945;6744813;1021
Antenne89;1027908;6745581;1175
Antenne90;1021422;6749102;1329
Antenne91;1026679;6746641;662
Antenne92;1026422;6749704;949
Antenne93;1028891;6746887;1242
Antenne94;1027553;6748564;886
Antenne95;1022974;6748488;821
Antenne96;1024952;6744809;301
Antenne97;1021943;6750281;1480
Antenne98;1024126;6749314;138
Antenne99;1028732;6749096;1146
Antenne100;1027602;6744618;839
